version,chip,arch,url,hash
13.2.0_20230928,xtensa,aarch64-apple-darwin,https://github.com/espressif/crosstool-NG/releases/download/esp-13.2.0_20230928/xtensa-esp-elf-13.2.0_20230928-aarch64-apple-darwin.tar.xz,sha256-ZbvuGj+oCPoR7L/41aAXEG5jjeiHUPuk4ceG+hLM5Aw=
13.2.0_20230928,xtensa,aarch64-linux-gnu,https://github.com/espressif/crosstool-NG/releases/download/esp-13.2.0_20230928/xtensa-esp-elf-13.2.0_20230928-aarch64-linux-gnu.tar.xz,sha256-dW17tc/d3x6QoW7aRCX8ZWu7vlaD90VJkOv5LkRIV/0=
13.2.0_20230928,riscv32,x86_64-linux-gnu,https://github.com/espressif/crosstool-NG/releases/download/esp-13.2.0_20230928/riscv32-esp-elf-13.2.0_20230928-x86_64-linux-gnu.tar.xz,sha256-LAzznScseHYeuEnT067RDtYMz1g98VFmy/cugaqPZik=
13.2.0_20230928,riscv32,aarch64-apple-darwin,https://github.com/espressif/crosstool-NG/releases/download/esp-13.2.0_20230928/riscv32-esp-elf-13.2.0_20230928-aarch64-apple-darwin.tar.xz,sha256-GMUqmcPKoj2N/JI9Y86yFJceG6D87tKhtV4UxW/NCzA=
13.2.0_20230928,riscv32,aarch64-linux-gnu,https://github.com/espressif/crosstool-NG/releases/download/esp-13.2.0_20230928/riscv32-esp-elf-13.2.0_20230928-aarch64-linux-gnu.tar.xz,sha256-diCPGpE6cRpHggKNhWiuSQJE4zylQDwtbGYjrjVq/Lw=
13.2.0_20231215,xtensa,x86_64-linux-gnu,https://github.com/espressif/crosstool-NG/releases/download/esp-13.2.0_20231215/xtensa-esp-elf-13.2.0_20231215-x86_64-linux-gnu.tar.xz,XXXXXXXXXXXXXXXX
13.2.0_20231215,xtensa,aarch64-apple-darwin,https://github.com/espressif/crosstool-NG/releases/download/esp-13.2.0_20231215/xtensa-esp-elf-13.2.0_20231215-aarch64-apple-darwin.tar.xz,XXXXXXXXXXXXXXXX
13.2.0_20231215,xtensa,aarch64-linux-gnu,https://github.com/espressif/crosstool-NG/releases/download/esp-13.2.0_20231215/xtensa-esp-elf-13.2.0_20231215-aarch64-linux-gnu.tar.xz,XXXXXXXXXXXXXXXX
13.2.0_20231215,riscv32,x86_64-linux-gnu,https://github.com/espressif/crosstool-NG/releases/download/esp-13.2.0_20231215/riscv32-esp-elf-13.2.0_20231215-x86_64-linux-gnu.tar.xz,XXXXXXXXXXXXXXXX
13.2.0_20231215,riscv32,aarch64-apple-darwin,https://github.com/espressif/crosstool-NG/releases/download/esp-13.2.0_20231215/riscv32-esp-elf-13.2.0_20231215-aarch64-apple-darwin.tar.xz,XXXXXXXXXXXXXXXX
13.2.0_20231215,riscv32,aarch64-linux-gnu,https://github.com/espressif/crosstool-NG/releases/download/esp-13.2.0_20231215/riscv32-esp-elf-13.2.0_20231215-aarch64-linux-gnu.tar.xz,XXXXXXXXXXXXXXXX
13.2.0_20240109,xtensa,x86_64-linux-gnu,https://github.com/espressif/crosstool-NG/releases/download/esp-13.2.0_20240109/xtensa-esp-elf-13.2.0_20240109-x86_64-linux-gnu.tar.xz,XXXXXXXXXXXXXXXX
13.2.0_20240109,xtensa,aarch64-apple-darwin,https://github.com/espressif/crosstool-NG/releases/download/esp-13.2.0_20240109/xtensa-esp-elf-13.2.0_20240109-aarch64-apple-darwin.tar.xz,XXXXXXXXXXXXXXXX
13.2.0_20240109,xtensa,aarch64-linux-gnu,https://github.com/espressif/crosstool-NG/releases/download/esp-13.2.0_20240109/xtensa-esp-elf-13.2.0_20240109-aarch64-linux-gnu.tar.xz,XXXXXXXXXXXXXXXX
13.2.0_20240109,riscv32,x86_64-linux-gnu,https://github.com/espressif/crosstool-NG/releases/download/esp-13.2.0_20240109/riscv32-esp-elf-13.2.0_20240109-x86_64-linux-gnu.tar.xz,XXXXXXXXXXXXXXXX
13.2.0_20240109,riscv32,aarch64-apple-darwin,https://github.com/espressif/crosstool-NG/releases/download/esp-13.2.0_20240109/riscv32-esp-elf-13.2.0_20240109-aarch64-apple-darwin.tar.xz,XXXXXXXXXXXXXXXX
13.2.0_20240109,riscv32,aarch64-linux-gnu,https://github.com/espressif/crosstool-NG/releases/download/esp-13.2.0_20240109/riscv32-esp-elf-13.2.0_20240109-aarch64-linux-gnu.tar.xz,XXXXXXXXXXXXXXXX
13.2.0_20240305,xtensa,x86_64-linux-gnu,https://github.com/espressif/crosstool-NG/releases/download/esp-13.2.0_20240305/xtensa-esp-elf-13.2.0_20240305-x86_64-linux-gnu.tar.xz,sha256-QLCVg4Hnv/Wu8ys19/rSo5TmM0J+2vEtpHN7RpsudbQ=
13.2.0_20240305,xtensa,aarch64-apple-darwin,https://github.com/espressif/crosstool-NG/releases/download/esp-13.2.0_20240305/xtensa-esp-elf-13.2.0_20240305-aarch64-apple-darwin.tar.xz,sha256-UZwN0vME3bY/fAXUbNZOasGyIG4OLTpnQCMFlRATyv8=
13.2.0_20240305,xtensa,aarch64-linux-gnu,https://github.com/espressif/crosstool-NG/releases/download/esp-13.2.0_20240305/xtensa-esp-elf-13.2.0_20240305-aarch64-linux-gnu.tar.xz,sha256-3CZSxg1SJKKCrCjFY2jCbzHiIoonAHp6bqnj9F4exEM=
13.2.0_20240305,riscv32,x86_64-linux-gnu,https://github.com/espressif/crosstool-NG/releases/download/esp-13.2.0_20240305/riscv32-esp-elf-13.2.0_20240305-x86_64-linux-gnu.tar.xz,sha256-QrbrGwqyFwJfn5/i++1kh9XBCQiwe5kN/hd9uG+SAHs=
13.2.0_20240305,riscv32,aarch64-apple-darwin,https://github.com/espressif/crosstool-NG/releases/download/esp-13.2.0_20240305/riscv32-esp-elf-13.2.0_20240305-aarch64-apple-darwin.tar.xz,sha256-nVRLMopNnsLFZw02DLtGNGvSR2Jp3ONqEnfzZsEMdLM=
13.2.0_20240305,riscv32,aarch64-linux-gnu,https://github.com/espressif/crosstool-NG/releases/download/esp-13.2.0_20240305/riscv32-esp-elf-13.2.0_20240305-aarch64-linux-gnu.tar.xz,sha256-iFwv9yi8TxSWFdr51EyCai6uNxyaCFiRtGwlOFR/8FI=
13.2.0_20240530,xtensa,x86_64-linux-gnu,https://github.com/espressif/crosstool-NG/releases/download/esp-13.2.0_20240530/xtensa-esp-elf-13.2.0_20240530-x86_64-linux-gnu.tar.xz,sha256-Uv/3xzM9nQ7S2an90ubGN4BexJCr2RSQlAbmTfsNDdc=
13.2.0_20240530,xtensa,aarch64-apple-darwin,https://github.com/espressif/crosstool-NG/releases/download/esp-13.2.0_20240530/xtensa-esp-elf-13.2.0_20240530-aarch64-apple-darwin.tar.xz,sha256-HVItC50deG84JDAhQ/YeIrkUswfwAn8SO/JQ+eMbK1s=
13.2.0_20240530,xtensa,aarch64-linux-gnu,https://github.com/espressif/crosstool-NG/releases/download/esp-13.2.0_20240530/xtensa-esp-elf-13.2.0_20240530-aarch64-linux-gnu.tar.xz,sha256-Ri7IwHhpqpn/0wyC/GbuuFOBh/OurmgsUb2liXV/XLo=
13.2.0_20240530,riscv32,x86_64-linux-gnu,https://github.com/espressif/crosstool-NG/releases/download/esp-13.2.0_20240530/riscv32-esp-elf-13.2.0_20240530-x86_64-linux-gnu.tar.xz,sha256-/M+kqx5xtEHViMbK1l8Tt5XwsMBk/zCvqvzp8PawckQ=
13.2.0_20240530,riscv32,aarch64-apple-darwin,https://github.com/espressif/crosstool-NG/releases/download/esp-13.2.0_20240530/riscv32-esp-elf-13.2.0_20240530-aarch64-apple-darwin.tar.xz,sha256-rjpM2Z3B9ID/XwREYgeN96hrPrA+1GGr7HXacSkUhoA=
